timestamp,status,remote,refid,stratum,type,when_seconds,poll,reach,delay_ms,offset_ms,jitter_ms
2026-02-09 02:20:01,*,ptbtime1.ptb.de,.PTB.,1,u,211,256,1,101.9911,105.421,28.9214
2026-02-09 02:20:01,+,time-a-g.nist.g,.NIST.,1,u,153,256,3,147.8593,105.3478,101.3882
2026-02-09 02:20:01,+,ns1.anu.edu.au,169.254.0.1,3,u,223,256,1,372.4897,-97.8792,57.17
2026-02-09 02:20:01,,ntp-b3.nict.go.,.NICT.,1,u,123,256,3,347.7514,96.7139,159.6383
2026-02-09 02:40:01,+,140.203.204.77,162.159.200.123,4,u,235,512,37,50.9059,80.161,103.5516
2026-02-09 02:40:01,+,ntp0.cam.ac.uk,197.205.52.7,2,u,301,512,37,69.3567,111.096,92.7243
2026-02-09 02:40:01,*,ptbtime1.ptb.de,.PTB.,1,u,353,512,17,96.0781,99.147,26.3606
2026-02-09 02:40:01,+,time-a-g.nist.g,.NIST.,1,u,284,512,37,145.3249,108.8597,93.0435
2026-02-09 02:40:01,-,ns1.anu.edu.au,169.254.0.1,3,u,128,512,37,382.4008,82.3274,143.8609
2026-02-09 02:40:01,+,ntp-b3.nict.go.,.NICT.,1,u,284,512,37,307.882,86.5617,113.8097
2026-02-09 03:00:01,+,140.203.204.77,162.159.200.123,4,u,381,512,177,50.9059,80.161,102.996
2026-02-09 03:00:01,*,ntp0.cam.ac.uk,197.205.52.7,2,u,448,512,177,72.4956,83.5654,114.7591
2026-02-09 03:00:01,+,ptbtime1.ptb.de,.PTB.,1,u,0,512,177,108.3522,32.6484,93.5551
2026-02-09 03:00:01,+,time-a-g.nist.g,.NIST.,1,u,417,512,177,125.4531,39.4036,97.2697
2026-02-09 03:00:01,+,ns1.anu.edu.au,169.254.0.1,3,u,273,512,177,382.4008,82.3274,155.9152
2026-02-09 03:00:01,+,ntp-b3.nict.go.,.NICT.,1,u,432,512,177,307.882,86.5617,116.6434
2026-02-09 03:20:01,+,140.203.204.77,162.159.200.123,4,u,6,512,377,67.36,52.6422,108.1023
2026-02-09 03:20:01,+,ntp0.cam.ac.uk,197.205.52.7,2,u,1647,512,370,72.4956,83.5654,114.7591
2026-02-09 03:20:01,*,ptbtime1.ptb.de,.PTB.,1,u,143,512,377,105.9873,33.583,87.1356
2026-02-09 03:20:01,+,time-a-g.nist.g,.NIST.,1,u,27,512,377,125.4531,39.4036,100.4754
2026-02-09 03:20:01,+,ns1.anu.edu.au,169.254.0.1,3,u,424,512,377,395.2003,-27.0639,219.2719
2026-02-09 03:20:01,+,ntp-b3.nict.go.,.NICT.,1,u,49,512,377,288.3221,28.1459,98.9958
2026-02-09 03:40:01,+,140.203.204.77,162.159.200.123,4,u,686,1024,376,50.4337,6.624,137.4255
2026-02-09 03:40:01,+,ntp0.cam.ac.uk,197.205.52.7,2,u,719,1024,342,72.4956,83.5654,119.6935
2026-02-09 03:40:01,*,ptbtime1.ptb.de,.PTB.,1,u,265,1024,377,95.7797,10.3421,101.9396
2026-02-09 03:40:01,+,time-a-g.nist.g,.NIST.,1,u,163,1024,377,138.3727,4.9872,98.9177
2026-02-09 03:40:01,+,ns1.anu.edu.au,169.254.0.1,3,u,26,1024,377,395.2003,-27.0639,187.4148
2026-02-09 03:40:01,+,ntp-b3.nict.go.,.NICT.,1,u,186,1024,377,288.3221,28.1459,81.4392
2026-02-09 04:00:01,+,140.203.204.77,162.159.200.123,4,u,312,1024,375,50.4337,6.624,118.13
2026-02-09 04:00:01,+,ntp0.cam.ac.uk,197.205.52.7,2,u,329,1024,305,108.4308,-20.5363,208.2736
2026-02-09 04:00:01,*,ptbtime1.ptb.de,.PTB.,1,u,432,1024,377,95.7797,10.3421,98.7242
2026-02-09 04:00:01,+,time-a-g.nist.g,.NIST.,1,u,302,1024,377,138.3727,4.9872,95.7932
2026-02-09 04:00:01,+,ns1.anu.edu.au,169.254.0.1,3,u,150,1024,377,430.026,-31.4143,217.6876
2026-02-09 04:00:01,+,ntp-b3.nict.go.,.NICT.,1,u,353,1024,377,288.3221,28.1459,78.6718
2026-02-09 04:20:01,+,140.203.204.77,162.159.200.123,4,u,1512,1024,372,50.4337,6.624,118.13
2026-02-09 04:20:01,+,ntp0.cam.ac.uk,197.205.52.7,2,u,453,1024,213,108.4308,-20.5363,211.3436
2026-02-09 04:20:01,*,ptbtime1.ptb.de,.PTB.,1,u,601,1024,377,72.1595,19.7136,74.9866
2026-02-09 04:20:01,+,time-a-g.nist.g,.NIST.,1,u,431,1024,377,167.6016,45.8471,85.6744
2026-02-09 04:20:01,+,ns1.anu.edu.au,169.254.0.1,3,u,269,1024,377,395.2003,-27.0639,182.5641
2026-02-09 04:20:01,+,ntp-b3.nict.go.,.NICT.,1,u,512,1024,377,288.3221,28.1459,95.6856
2026-02-09 04:40:01,+,140.203.204.77,162.159.200.123,4,u,2700,1024,364,50.4337,6.624,118.13
2026-02-09 04:40:01,+,ntp0.cam.ac.uk,197.205.52.7,2,u,595,1024,27,73.9026,19.3102,154.3066
2026-02-09 04:40:01,*,ptbtime1.ptb.de,.PTB.,1,u,737,1024,377,72.1595,19.7136,55.9696
2026-02-09 04:40:01,+,time-a-g.nist.g,.NIST.,1,u,587,1024,377,138.3727,4.9872,110.9608
2026-02-09 04:40:01,+,ns1.anu.edu.au,169.254.0.1,3,u,402,1024,377,448.4773,1.0078,121.6848
2026-02-09 04:40:01,+,ntp-b3.nict.go.,.NICT.,1,u,658,1024,377,288.3221,28.1459,126.6975
2026-02-09 05:00:01,+,140.203.204.77,162.159.200.123,4,u,3900,1024,350,50.4337,6.624,118.13
2026-02-09 05:00:01,+,ntp0.cam.ac.uk,197.205.52.7,2,u,1795,1024,56,73.9026,19.3102,154.3066
2026-02-09 05:00:01,*,ptbtime1.ptb.de,.PTB.,1,u,888,1024,377,72.1595,19.7136,69.7236
