iteration,value_ns
1482,8792
1483,-2708
1484,-4584
1485,18459
1486,-18459
1487,3792
1488,-2417
1489,-5333
1490,6167
1491,-2000
1492,2708
1493,-2458
1494,-417
1495,-208
1496,166
1497,-333
1498,18292
1499,-14375
1500,-3584
1501,42
1502,208
1503,-500
1504,375
1505,4042
1506,-5583
1507,1000
1508,-3334
1509,2375
1510,4292
1511,17667
1512,-64292
1513,56500
1514,-32875
1515,26667
1516,-7709
1517,1375
1518,-500
1519,-4333
1520,1333
1521,15375
1522,-17500
1523,2542
1524,18958
1525,-11416
1526,-4875
1527,-1459
1528,3875
1529,14125
1530,-15875
1531,-4625
1532,917
1533,4667
1534,-1750
1535,666
1536,-541
1537,15916
1538,-11500
1539,-5458
1540,-2125
1541,6833
1542,-4875
1543,1750
1544,-916
1545,583
1546,-125
1547,-1958
1548,3333
1549,11250
1550,-15000
1551,11958
1552,-11916
1553,2250
1554,-2292
1555,4500
1556,-2125
1557,542
1558,-6917
1559,8417
1560,-2375
1561,15333
1562,-18708
1563,4500
1564,-1000
1565,3416
1566,-5500
1567,5125
1568,-2750
1569,292
1570,9417
1571,-11875
1572,3250
1573,14958
1574,-19542
1575,5375
1576,-2250
1577,417
1578,4750
1579,-5083
1580,4416
1581,-5541
1582,12500
1583,-1542
1584,-12292
1585,11750
1586,-16125
1587,9084
1588,-2459
1589,542
1590,-333
1591,13750
1592,-5250
1593,-1834
1594,-12000
1595,6667
1596,-375
1597,6208
1598,-12083
1599,7875
1600,-3667
1601,31500
1602,-31083
1603,2292
1604,-2584
1605,17042
1606,-12333
1607,-667
1608,-9458
1609,23583
1610,-136500
1611,146375
1612,-37708
1613,21666
1614,-14000
1615,1625
1616,6667
1617,-6333
1618,1000
1619,2041
1620,-4541
1621,23333
1622,-26333
1623,7416
1624,-2208
1625,5292
1626,-9500
1627,6750
1628,-2834
1629,625
1630,-625
1631,-1500
1632,7417
1633,-3417
1634,-1708
1635,583
1636,-1125
1637,7000
1638,-8541
1639,125
1640,-11542
1641,1083
1642,-108250
1643,136750
1644,3917
1645,-18750
1646,-3292
1647,-4375
1648,10584
1649,-6209
1650,6709
1651,-5709
1652,-3791
1653,666
1654,5625
1655,-1500
1656,-375
1657,22959
1658,-15000
1659,-8167
1660,-2167
1661,4917
1662,-2458
1663,250
1664,-625
1665,2458
1666,-1792
1667,167
1668,-5125
1669,26583
1670,-26250
1671,16542
1672,-14583
1673,2458
1674,-2625
1675,4917
1676,-95000
1677,118041
1678,-31583
1679,7833
1680,-1541
1681,19166
1682,-22958
1683,5375
1684,-125
1685,14417
1686,-14959
1687,-208
1688,-5125
1689,6042
1690,-2042
1691,417
1692,-417
1693,21500
1694,-26042
1695,11792
1696,-8000
1697,2167
1698,3666
1699,12042
1700,-21375
1701,8667
1702,-4000
1703,333
1704,-417
1705,23875
1706,-25708
1707,3375
1708,-6125
1709,6417
1710,-2500
1711,833
1712,13375
1713,-9375
1714,-8125
1715,6208
1716,-2416
1717,25666
1718,-29875
1719,6625
1720,-2208
1721,-3667
1722,9875
1723,-8750
1724,5084
1725,-2375
1726,-3167
1727,4208
1728,1125
1729,6875
1730,8334
1731,-24459
1732,10334
1733,-4834
1734,1542
1735,-708
1736,750
1737,-709
1738,16292
1739,-19417
1740,9500
1741,-6500
1742,20667
1743,-25125
1744,6708
1745,-1791
1746,5583
1747,-10750
1748,7750
1749,-2417
1750,1500
1751,-1666
1752,15291
1753,-20125
1754,4417
1755,1417
1756,-459
1757,334
1758,833
1759,-2583
1760,14791
1761,-21625
1762,11625
1763,-3791
1764,291
1765,4959
1766,-6750
1767,-2709
1768,1084
1769,-1417
1770,6208
1771,-4041
1772,666
1773,875
1774,1375
1775,-583
1776,583
1777,-958
1778,25208
1779,-20958
1780,-5750
1781,3708
1782,-1083
1783,-3000
1784,667
1785,1333
1786,667
1787,-417
1788,250
1789,-417
1790,13292
1791,-15708
1792,9166
1793,-10875
1794,10667
1795,-7625
1796,-1458
1797,5833
1798,-3750
1799,1083
1800,250
1801,-916
1802,17041
1803,-24333
1804,10667
1805,-7542
1806,6417
1807,-4334
1808,4542
1809,-2125
1810,125
1811,-417
1812,625
1813,-3125
1814,11209
1815,-7042
1816,-2750
1817,-3375
1818,25542
1819,-22292
1820,2750
1821,-875
1822,-2625
1823,3375
1824,-875
1825,-542
1826,2875
1827,-2333
1828,-5542
1829,6834
1830,-6542
1831,6667
1832,13666
1833,-10125
1834,-6541
1835,2000
1836,11208
1837,-4625
1838,4042
1839,3125
1840,-24334
1841,12709
1842,-5709
1843,4459
1844,1625
1845,-375
1846,125
1847,-5917
1848,1708
1849,-1875
1850,4584
1851,15541
1852,-20166
1853,5500
1854,-2500
1855,583
1856,-833
1857,791
1858,27417
1859,-31125
1860,5250
1861,-292
1862,-1583
1863,14583
1864,-18083
1865,5417
1866,-834
1867,-583
1868,-750
1869,-2500
1870,5083
1871,5292
1872,6833
1873,-13583
1874,-333
1875,13125
1876,-16667
1877,13625
1878,-15958
1879,6708
1880,-1375
1881,-2917
1882,4375
1883,-1000
1884,-791
1885,12208
1886,-14375
1887,6583
1888,-5166
1889,1458
1890,-3833
1891,7083
1892,-9708
1893,7875
1894,-5750
1895,-1042
1896,6292
1897,-1542
1898,13500
1899,4042
1900,-12459
1901,-6708
1902,12042
1903,-15292
1904,1458
1905,5417
1906,-6667
1907,6375
1908,-1791
1909,-1625
1910,12166
1911,709
1912,-14000
1913,7083
1914,-2542
1915,-6541
1916,6333
1917,-1583
1918,2000
1919,-6875
1920,1375
1921,9625
1922,-6750
1923,166
1924,-12875
1925,48959
1926,-32750
1927,6916
1928,-12041
1929,3083
1930,792
1931,-1250
1932,-84
1933,250
1934,250
1935,6209
1936,6625
1937,10750
1938,-19459
1939,-3708
1940,-3750
1941,4875
1942,-3333
1943,3291
1944,-2375
1945,7334
1946,5833
1947,-18500
1948,28000
1949,-32292
1950,13250
1951,-3875
1952,459
1953,6166
1954,-1125
1955,-5458
1956,1583
1957,417
1958,-6083
1959,6000
1960,20583
1961,-26792
1962,12209
1963,-11625
1964,6166
1965,-2250
1966,-333
1967,-3500
1968,7917
1969,-3792
1970,292
1971,-5500
1972,26750
1973,-26084
1974,6334
1975,-1834
1976,375
1977,-375
1978,9209
1979,-10125
1980,-1167
1981,5792
1982,-2792
1983,-875
1984,29500
1985,-25583
1986,166
1987,-5458
1988,2083
1989,-791
1990,-1209
1991,1042
1992,-375
1993,-2333
1994,5375
1995,-2500
1996,23416
1997,-28291
1998,16375
1999,-14042
2000,4500
2001,-3167
2002,1584
2003,-625
2004,750
2005,10416
2006,3584
2007,-17709
2008,26625
2009,-28500
2010,5167
2011,417
2012,166
2013,18084
2014,-22042
2015,1250
2016,4167
2017,-3375
2018,3208
2019,-4958
2020,27375
2021,-32917
2022,15958
2023,-9916
2024,541
2025,4000
2026,-2208
2027,417
2028,-417
2029,875
2030,-417
2031,-416
2032,14583
2033,-583
2034,-13584
2035,1459
2036,-1500
2037,-2584
2038,3542
2039,-1417
2040,125
2041,7167
2042,-8250
2043,2500
2044,-1750
2045,25625
2046,-30625
2047,10208
2048,6959
2049,-18292
2050,10542
2051,-875
2052,-2792
2053,-250
2054,500
2055,-666
2056,10500
2057,-12959
2058,17542
2059,-19708
2060,2750
2061,3875
2062,-1000
2063,3541
2064,-4125
2065,542
2066,-1042
2067,709
2068,-542
2069,375
2070,-3375
2071,23792
2072,-24750
2073,11541
2074,-8500
2075,1209
2076,-875
2077,1166
2078,13667
2079,-13833
2080,-375
2081,291
2082,1417
2083,15833
2084,-20708
2085,4833
2086,-3166
2087,2583
2088,-1000
2089,125
2090,8250
2091,-12875
2092,6292
2093,-1959
2094,84
2095,16875
2096,-14584
2097,8084
2098,-12625
2099,2541
2100,5167
2101,-3708
2102,-6750
2103,7041
2104,-2875
2105,1167
2106,-3375
2107,20417
2108,-21209
2109,5542
2110,-2125
2111,2417
2112,9333
2113,10167
2114,-19959
2115,2042
2116,-3042
2117,-375
2118,-291
2119,20500
2120,-25417
2121,6708
2122,-1291
2123,625
2124,-5084
2125,5625
2126,-1125
2127,2834
2128,-4459
2129,459
2130,-2292
2131,30958
2132,-33291
2133,4583
2134,-3792
2135,1084
2136,583
2137,4208
2138,-916
2139,11083
2140,-83
2141,-14042
2142,4250
2143,-2292
2144,23250
2145,-18583
2146,8833
2147,-15291
2148,3916
2149,-1333
2150,2917
2151,-1584
2152,4750
2153,42
2154,-7375
2155,583
2156,2792
2157,32083
2158,-39291
2159,7833
2160,-3083
2161,-250
2162,291
2163,42
2164,31250
2165,-36292
2166,7750
2167,-3083
2168,-1500
2169,22458
2170,-30000
2171,13459
2172,-3542
2173,542
2174,-875
2175,583
2176,-1125
2177,9958
2178,-13916
2179,3625
2180,4458
2181,-3708
2182,708
2183,-458
2184,-42
2185,36708
2186,-43333
2187,12750
2188,417
2189,-10500
2190,6666
2191,-3750
2192,2000
2193,-2750
2194,27459
2195,-31834
2196,8417
2197,-2708
2198,-334
2199,2167
2200,-958
2201,-5167
2202,7542
2203,-2459
2204,125
2205,20209
2206,-3959
2207,-23791
2208,10583
2209,-3292
2210,20875
2211,-15583
2212,-6458
2213,625
2214,-667
2215,708
2216,375
2217,-333
2218,21000
2219,-25292
2220,10209
2221,-6542
2222,-1917
2223,-1041
2224,5458
2225,-1917
2226,9209
2227,-13375
2228,2250
2229,10291
2230,-12625
2231,11334
2232,16583
2233,-24417
2234,7042
2235,-6125
2236,-250
2237,-500
2238,-4833
2239,6958
2240,-2042
2241,1834
2242,-2250
2243,25583
2244,-24167
2245,10292
2246,23708
